dataset_name,field,type,description,allowed_values_or_range,source_requirement
failure_history,equipment_id,varies,Failure / downtime history field: equipment_id.,,TZ predictive diagnostics spec
failure_history,failure_start_time,varies,Failure / downtime history field: failure_start_time.,,TZ predictive diagnostics spec
failure_history,failure_end_time,varies,Failure / downtime history field: failure_end_time.,,TZ predictive diagnostics spec
failure_history,failure_type,varies,Failure / downtime history field: failure_type.,,TZ predictive diagnostics spec
failure_history,failure_cause,varies,Failure / downtime history field: failure_cause.,,TZ predictive diagnostics spec
failure_history,downtime_minutes,varies,Failure / downtime history field: downtime_minutes.,,TZ predictive diagnostics spec
failure_history,production_loss,varies,Failure / downtime history field: production_loss.,,TZ predictive diagnostics spec
failure_history,severity,varies,Failure / downtime history field: severity.,,TZ predictive diagnostics spec
failure_history,operator_comment,varies,Failure / downtime history field: operator_comment.,,TZ predictive diagnostics spec
scada_alarms,timestamp,varies,SCADA/АСУ ТП alarm field: timestamp.,,TZ predictive diagnostics spec
scada_alarms,equipment_id,varies,SCADA/АСУ ТП alarm field: equipment_id.,,TZ predictive diagnostics spec
scada_alarms,alarm_code,varies,SCADA/АСУ ТП alarm field: alarm_code.,,TZ predictive diagnostics spec
scada_alarms,alarm_text,varies,SCADA/АСУ ТП alarm field: alarm_text.,,TZ predictive diagnostics spec
scada_alarms,alarm_level,varies,SCADA/АСУ ТП alarm field: alarm_level.,,TZ predictive diagnostics spec
scada_alarms,alarm_status,varies,SCADA/АСУ ТП alarm field: alarm_status.,,TZ predictive diagnostics spec
scada_alarms,operator_action,varies,SCADA/АСУ ТП alarm field: operator_action.,,TZ predictive diagnostics spec
